City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,chulym,55.0997,80.9572,-17.29,95,100,4.76,RU,1707680135
131,saint-pierre,-21.3393,55.4781,26.82,78,0,6.69,RE,1707680136
132,princeville,45.7668,-61.2985,4.25,96,100,4.12,CA,1707680136
133,salinopolis,-0.6136,-47.3561,27.94,81,82,7.05,BR,1707680137
134,hit,33.6416,42.8251,16.5,48,0,3.37,IQ,1707680137
135,port elizabeth,-33.918,25.5701,22.28,80,0,6.17,ZA,1707680106
136,ust-nera,64.5667,143.2,-34.07,100,100,1.18,RU,1707680138
137,enewetak,11.3474,162.3373,26.38,75,100,10.45,MH,1707680139
138,whitehorse,60.7161,-135.0538,-2.57,73,75,4.63,CA,1707679857
139,bodaybo,57.8506,114.1933,-14.34,96,100,1.27,RU,1707680139
140,chibougamau,49.9168,-74.3659,-8.21,79,100,3.6,CA,1707680140
141,codrington,-38.2667,141.9667,14.33,95,2,1.75,AU,1707680141
142,acapulco de juarez,16.8634,-99.8901,28.9,65,0,5.66,MX,1707679985
143,holualoa,19.6228,-155.9522,24.2,74,0,1.54,US,1707680142
144,bredasdorp,-34.5322,20.0403,19.65,76,100,4.92,ZA,1707680033
145,joniskis,56.2403,23.6153,0.51,98,100,4.46,LT,1707680143
146,jaca,42.569,-0.5499,2.21,86,89,1.7,ES,1707680143
147,coahuayana de hidalgo,18.7,-103.6583,29.28,49,76,3.25,MX,1707680144
148,talcahuano,-36.7167,-73.1167,18.82,63,0,5.66,CL,1707680145
149,fortuna,40.5982,-124.1573,16.63,79,75,0.89,US,1707680145
150,zouerate,22.7187,-12.4521,23.56,30,0,3.6,MR,1707680146
151,sterling,39.0062,-77.4286,11.23,85,100,2.57,US,1707680146
152,punta arenas,-53.15,-70.9167,13.06,47,40,13.38,CL,1707680147
153,itacare,-14.2775,-38.9967,26.27,87,100,3.36,BR,1707680147
154,huarmey,-10.0681,-78.1522,27.03,73,91,5.35,PE,1707680148
155,vadso,70.0744,29.7487,-12.91,92,75,4.12,NO,1707680148
156,mili,6.0815,171.735,27.65,79,63,10.25,MH,1707679901
157,atlantic,39.4668,-74.6663,10.71,71,100,4.12,US,1707680149
158,cao bang,22.6667,106.25,12.14,76,3,0.43,VN,1707680150
159,sao felix do xingu,-6.6447,-51.995,25.77,96,91,1.62,BR,1707680150
160,las heras,-46.5419,-68.9359,16.81,30,100,15.16,AR,1707680150
161,alofi,-19.0595,-169.9187,28.94,84,100,3.6,NU,1707680151
162,fandriana,-20.2333,47.3833,18.74,96,100,1.32,MG,1707680151
163,atafu village,-8.5421,-172.5159,28.08,78,100,2.47,TK,1707679922
164,kargopol',61.5071,38.9456,-21.13,100,100,0.68,RU,1707680153
165,tamanrasset,22.785,5.5228,17.95,8,0,2.57,DZ,1707680153
166,ancud,-41.8697,-73.8203,15.88,78,82,4.55,CL,1707680116
167,hami,42.8,93.45,0.14,50,0,2.03,CN,1707680154
168,luganville,-15.5333,167.1667,26.23,83,0,2.34,VU,1707680155
169,usogorsk,63.4106,48.6872,-22.96,100,97,1.46,RU,1707679857
170,acajutla,13.5928,-89.8275,29.56,53,1,3.85,SV,1707680155
171,puerto leguizamo,-0.1934,-74.7819,27.91,87,64,1.4,CO,1707680156
172,bitam,2.076,11.5007,26.25,71,100,1.97,GA,1707680156
173,kalifornsky,60.4183,-151.29,-6.83,100,0,3.09,US,1707680157
174,hasaki,35.7333,140.8333,3.22,94,100,8.44,JP,1707680157
175,timmins,48.4669,-81.3331,-7.1,79,100,2.57,CA,1707680158
176,manado,1.487,124.8455,25.43,94,40,4.12,ID,1707680155
177,pindiga,9.9833,10.9333,26.64,16,5,3.42,NG,1707680159
178,gadzhiyevo,69.2551,33.3362,-13.63,90,100,3.74,RU,1707680159
179,mzimba,-11.9,33.6,18.5,94,100,0.52,MW,1707680160
180,golhisar,37.1459,29.5088,7.0,76,93,3.21,TR,1707680160
181,west island,-12.1568,96.8225,27.99,78,40,4.12,CC,1707680098
182,puerto aysen,-45.4,-72.7,14.54,59,57,4.05,CL,1707680161
183,quartu sant'elena,39.2419,9.1839,13.16,71,20,3.6,IT,1707680044
184,ar ruways,24.1103,52.7306,19.18,75,71,4.39,AE,1707680162
185,san,13.3034,-4.8956,30.55,6,0,3.52,ML,1707680163
186,port saint john's,-31.6229,29.5448,21.02,78,98,2.91,ZA,1707679867
187,nar'yan-mar,67.6713,53.087,-30.5,100,47,1.79,RU,1707680096
188,point pedro,9.8167,80.2333,26.63,69,3,7.74,LK,1707680164
189,puerto ayora,-0.7393,-90.3518,31.98,90,49,3.58,EC,1707680107
190,hamilton,39.1834,-84.5333,10.7,63,0,4.02,US,1707680050
191,rongelap,11.1635,166.8941,26.12,80,100,10.18,MH,1707680166
192,fort bragg,35.139,-79.006,19.34,85,100,5.14,US,1707680166
193,laojunmiao,39.8333,97.7333,-2.72,21,56,1.18,CN,1707680167
194,maputo,-25.9653,32.5892,25.82,57,75,4.63,MZ,1707680167
195,lisala,2.15,21.5167,29.95,34,88,1.08,CD,1707680168
196,as-suwayda,32.709,36.5695,10.29,55,93,1.99,SY,1707680168
197,dabhol,17.6,73.1667,23.9,56,3,4.82,IN,1707680169
198,lourical,40.0039,-8.7374,13.16,98,100,4.68,PT,1707680169
199,kongolo,-5.3833,27.0,21.55,92,31,0.83,CD,1707680170
200,jiwani,25.05,61.7417,20.74,78,100,4.59,PK,1707680171
201,brookings,44.3114,-96.7984,5.03,71,12,1.79,US,1707680171
202,ketchikan,55.3422,-131.6461,2.99,100,100,5.14,US,1707679932
203,papao,-17.75,-149.55,28.7,90,97,12.49,PF,1707680172
204,arteche,12.2645,125.4048,24.1,87,100,7.43,PH,1707680172
205,puerto armuelles,8.2833,-82.8667,33.99,56,12,2.24,PA,1707680162
206,las tablas,7.7667,-80.2833,33.99,99,58,10.13,PA,1707680174
207,la'ie,21.6477,-157.9253,25.34,75,2,0.45,US,1707680095
208,kholmsk,47.0511,142.0569,-13.66,88,79,1.47,RU,1707680175
209,cidade velha,14.9167,-23.6167,25.26,65,20,8.23,CV,1707680175
210,nyurba,63.2842,118.3319,-26.94,98,100,3.7,RU,1707680176
211,natal,-5.795,-35.2094,31.36,66,40,5.66,BR,1707680048
212,ola,59.5833,151.2833,-22.47,88,100,3.25,RU,1707680171
213,cajabamba,-7.6167,-78.05,22.4,47,41,2.06,PE,1707680178
214,khandyga,62.6667,135.6,-39.34,98,41,1.27,RU,1707680178
215,kangding,30.0513,101.9603,2.55,63,61,2.59,CN,1707680179
216,bikenibeu village,1.3673,173.1241,27.98,89,75,4.12,KI,1707680179
217,afif,23.9065,42.9172,13.24,25,0,4.32,SA,1707680180
218,uturoa,-16.7333,-151.4333,27.69,87,100,10.0,PF,1707680180
219,bonthe,7.5264,-12.505,27.24,81,16,4.85,SL,1707679935
220,san ignacio,17.1561,-89.0714,31.08,62,0,2.06,BZ,1707680181
221,tolanaro,-25.0319,46.9987,27.04,89,40,7.2,MG,1707680182
222,karratha,-20.7377,116.8463,27.65,82,0,6.13,AU,1707680182
223,praia da vitoria,38.7333,-27.0667,18.14,77,20,11.18,PT,1707680183
224,kez,57.8979,53.7152,-19.26,100,100,1.84,RU,1707680183
225,xiongzhou,25.1167,114.3,8.75,70,0,0.32,CN,1707680184
226,vilyuchinsk,52.9306,158.4028,-16.71,85,13,3.9,RU,1707680184
227,north battleford,52.7834,-108.2847,-0.89,64,0,8.23,CA,1707679927
228,san patricio,28.017,-97.5169,27.97,34,0,9.26,US,1707680185
229,lebu,-37.6167,-73.65,16.76,74,100,7.25,CL,1707680152
230,salalah,17.0151,54.0924,25.05,78,40,2.57,OM,1707680187
231,puquio,-14.7,-74.1333,15.56,75,100,4.88,PE,1707680187
232,mikuni,36.2171,136.1519,5.95,56,100,8.82,JP,1707680188
233,galliano,29.4422,-90.2992,24.0,78,100,7.72,US,1707680188
234,kalix,65.853,23.1565,-25.81,99,36,1.28,SE,1707680188
